type,name,stage_number,stage_name,s3_bucket,path_dvc,path_local,path_s3,athena_table,observation_unit,primary_key,run_type_automated,run_type_experiment,run_type_candidate,run_type_final,notes
input,training,0,ingest,ccao-data-dvc-us-east-1,input/training_data.parquet.dvc,input/training_data.parquet,,,pin,"year, meta_pin",No,No,No,Yes,"Excludes any multi-card PINs, therefore unit of observation is PIN"
input,assessment,0,ingest,ccao-data-dvc-us-east-1,input/assessment_data.parquet.dvc,input/assessment_data.parquet,,,card,"year, meta_pin, meta_card_num",No,No,No,Yes,Includes all cards that need valuation
input,complex_id,0,ingest,ccao-data-dvc-us-east-1,input/complex_id_data.parquet.dvc,input/complex_id_data.parquet,,,pin,"year, meta_pin",No,No,No,No,Only run as-needed i.e. as little as possible
input,land_site_rate,0,ingest,ccao-data-dvc-us-east-1,input/land_site_rate_data.parquet.dvc,input/land_site_rate_data.parquet,,,pin,"year, meta_pin",No,No,No,No,Site-specific flat land values provided by Valuations for 210 and 295s only
input,land_nbhd_rate,0,ingest,ccao-data-dvc-us-east-1,input/land_nbhd_rate_data.parquet.dvc,input/land_nbhd_rate_data.parquet,,,nbhd,"year, meta_nbhd",No,No,No,No,Neighborhood-level land rates (per sqft) provided by Valuations
output,metadata,1,setup,ccao-model-results-us-east-1,,output/metadata/model_metadata.parquet,metadata/year={year}/{run_id}.parquet,metadata,model run,"year, run_id",Yes,Yes,Yes,Yes,Information about each run
intermediate,parameter_default,1,setup,,,output/intermediate/model_paramater_default.parquet,,,model run,run_id,Yes,Yes,Yes,Yes,Default set of model parameters pulled from the included .Renviron file
output,parameter_search,2,train,ccao-model-results-us-east-1,,output/parameter_search/model_parameter_search.parquet,parameter_search/year={year}/{run_id}.parquet,parameter_search,model cv fold,"year, run_id, configuration, fold_id",No,Yes,Yes,Yes,Each row is the result from one fold assessment from one iteration
output,parameter_raw,2,train,ccao-model-results-us-east-1,,output/parameter_search/model_parameter_search.parquet,parameter_raw/year={year}/{run_id}.parquet,,model cv fold,"year, run_id, configuration, fold_id",Yes,Yes,Yes,Yes,Raw output from CV/tuning. Not useful in Athena but needed to make models reproducible
output,parameter_final,2,train,ccao-model-results-us-east-1,,output/parameter_final/model_parameter_final.parquet,parameter_final/year={year}/{run_id}.parquet,parameter_final,model run,"year, run_id",Yes,Yes,Yes,Yes,"Best hyperparameters for each run, as chosen by tune::select_best()"
