feature_name,variable_name,description,category,type,possible_codes,possible_values
"Percent Population Age, Under 19 Years Old",acs5_percent_age_children,Percent of the people 17 years or younger,ACS5,numeric,,
"Percent Population Age, Over 65 Years Old",acs5_percent_age_senior,Percent of the people 65 years or older,ACS5,numeric,,
Median Population Age,acs5_median_age_total,Median age for whole population,ACS5,numeric,,
"Percent Households Family, Married",acs5_percent_household_family_married,"Percent of households that are family, married",ACS5,numeric,,
"Percent Households Nonfamily, Living Alone",acs5_percent_household_nonfamily_alone,"Percent of households that are non-family, alone (single)",ACS5,numeric,,
"Percent Population Education, High School Degree",acs5_percent_education_high_school,Percent of people older than 25 who attained a high school degree,ACS5,numeric,,
"Percent Population Education, Bachelor Degree",acs5_percent_education_bachelor,Percent of people older than 25 who attained a bachelor's degree,ACS5,numeric,,
"Percent Population Education, Graduate Degree",acs5_percent_education_graduate,Percent of people older than 25 who attained a graduate degree,ACS5,numeric,,
"Percent Population Income, Below Poverty Level",acs5_percent_income_below_poverty_level,Percent of people above the poverty level in the last 12 months,ACS5,numeric,,
"Median Income, Household in Past Year",acs5_median_income_household_past_year,Median income per household in the past 12 months,ACS5,numeric,,
"Median Income, Per Capita in Past Year",acs5_median_income_per_capita_past_year,Median income per capita in the past 12 months,ACS5,numeric,,
"Percent Population Income, Received SNAP in Past Year",acs5_percent_income_household_received_snap_past_year,Percent of households that received SNAP in the past 12 months,ACS5,numeric,,
"Percent Population Employment, Unemployed",acs5_percent_employment_unemployed,Percent of people 16 years and older unemployed,ACS5,numeric,,
"Median Occupied Household, Total, Year Built",acs5_median_household_total_occupied_year_built,Median year built for all occupied households,ACS5,numeric,,
"Median Occupied Household, Renter, Gross Rent",acs5_median_household_renter_occupied_gross_rent,Median gross rent for only renter-occupied units,ACS5,numeric,,
"Percent Occupied Households, Owner",acs5_percent_household_owner_occupied,Percent of households that are owner-occupied,ACS5,numeric,,
Year Built,char_yrblt,Year the property was constructed,Characteristic,numeric,,
Central Air Conditioning,char_air,Indicator for central air,Characteristic,categorical,"1, 2","Central A/C, No Central A/C"
Apartments,char_apts,Number of apartments for class 211 and 212 properties,Characteristic,categorical,"1, 2, 3, 4, 5, 6","Two, Three, Four, Five, Six, None"
Attic Finish,char_attic_fnsh,Attic finish,Characteristic,categorical,"1, 2, 3","Living Area, Partial, None"
Attic Type,char_attic_type,Attic type,Characteristic,categorical,"1, 2, 3","Full, Partial, None"
Bedrooms,char_beds,Number of bedrooms in the building,Characteristic,numeric,,
Building Square Feet,char_bldg_sf,"Square footage of the building, as measured from the exterior",Characteristic,numeric,,
