type,name,stage_number,stage_name,s3_bucket,path_local,path_s3,athena_table,observation_unit,primary_key,description,notes
input,training,0,ingest,ccao-data-dvc-us-east-1,input/training_data.parquet,,,pin,"year, meta_pin",Sales data used to train the model,"Excludes any PINs with multiple cards, therefore unit of observation is PIN"
input,assessment,0,ingest,ccao-data-dvc-us-east-1,input/assessment_data.parquet,,,card,"year, meta_pin, meta_card_num",Universe of properties that need assessed values,"Card-level, rather than PIN-level"
input,complex_id,0,ingest,ccao-data-dvc-us-east-1,input/complex_id_data.parquet,,,pin,"year, meta_pin",Programmatically created townhome complex IDs,"Purpose is to assign townhomes in the same ""complex"" the same value. Only run as-needed i.e. as little as possible"
input,land_site_rate,0,ingest,ccao-data-dvc-us-east-1,input/land_site_rate_data.parquet,,,pin,"year, meta_pin",Site-specific flat land values provided by Valuations,Applies to class 210 and 295 properties only
input,land_nbhd_rate,0,ingest,ccao-data-dvc-us-east-1,input/land_nbhd_rate_data.parquet,,,nbhd,"year, meta_nbhd",Neighborhood-level land rates (per sqft) provided by Valuations,Applies to all properties (except those with a PIN-specific flat value)
input,hie,0,ingest,ccao-data-dvc-us-east-1,input/hie_data.parquet,,,pin,"year, pin","HIE data used to build training and assessment data, used for report generation",A complete retrieval of ccao.hie
input,char,0,ingest,ccao-data-dvc-us-east-1,input/char_data.parquet,,,card,"year, pin, card",Two years of characteristics data for the entire residential assessment set for report generation,Contains data for modeling year and one year prior
output,parameter_search,1,train,ccao-model-results-us-east-1,output/parameter_search/model_parameter_search.parquet,parameter_search/year={year}/{run_id}.parquet,parameter_search,model cv fold,"year, run_id, configuration, fold_id",Tidymodels tuning output from cross-validation,Each row is the result from one fold assessment from one iteration
output,parameter_raw,1,train,ccao-model-results-us-east-1,output/parameter_search/model_parameter_search.parquet,parameter_raw/year={year}/{run_id}.parquet,,model cv fold,"year, run_id, configuration, fold_id","Raw, nested Tidymodels tuning output",Not useful in Athena but needed to make models reproducible
output,parameter_final,1,train,ccao-model-results-us-east-1,output/parameter_final/model_parameter_final.parquet,parameter_final/year={year}/{run_id}.parquet,parameter_final,model run,"year, run_id",Chosen set of hyperparameters for each run,"As chosen by tune::select_best() if using CV, otherwise the default set of hyperparameters specified in params.yaml (model.hyperparameter.default)"
